# SuperDARN MSTID Index Datafile - Reduced Index
# Generated by Nathaniel Frissell, nathaniel.frissell@scranton.edu
# Generated on: 2025-06-26 13:12:17.351696 UTC
#
# Parameter: meanSubIntSpect_by_rtiCnt_reducedIndex
#
# 20121101_20130501 Season Attributes:
# {'min_orig_rti_fraction': 0.251339997102709}
#
# Individual Radar Attributes:
# pgr: {'MongoDB_database': 'mstid_GSMR_fitexfilter', 'MongoDB_collection': 'guc_pgr_20121101_20130501', 'MongoDB_MUSICcollection': 'music_guc_pgr_20121101_20130501', 'season': '20121101_20130501', 'Max Number of Signals Reported': 2, 'MongoDB_to_CSV_Script': '/scratch/code/lws_hemispheres/mongo_to_csv.py', 'System Hostname': 'analysis1', 'Script Run Time': '2023-10-23 11:01:41.233926', 'radar': 'pgr', 'lat': 53.98, 'lon': -122.59, 'min_orig_rti_fraction': 0.251339997102709}
# sas: {'MongoDB_database': 'mstid_GSMR_fitexfilter', 'MongoDB_collection': 'guc_sas_20121101_20130501', 'MongoDB_MUSICcollection': 'music_guc_sas_20121101_20130501', 'season': '20121101_20130501', 'Max Number of Signals Reported': 2, 'MongoDB_to_CSV_Script': '/scratch/code/lws_hemispheres/mongo_to_csv.py', 'System Hostname': 'analysis1', 'Script Run Time': '2023-10-23 11:01:41.233926', 'radar': 'sas', 'lat': 52.16, 'lon': -106.53, 'min_orig_rti_fraction': 0.2534086629001883}
# kap: {'MongoDB_database': 'mstid_GSMR_fitexfilter', 'MongoDB_collection': 'guc_kap_20121101_20130501', 'MongoDB_MUSICcollection': 'music_guc_kap_20121101_20130501', 'season': '20121101_20130501', 'Max Number of Signals Reported': 2, 'MongoDB_to_CSV_Script': '/scratch/code/lws_hemispheres/mongo_to_csv.py', 'System Hostname': 'analysis1', 'Script Run Time': '2023-10-23 11:01:41.233926', 'radar': 'kap', 'lat': 49.39, 'lon': -82.32, 'min_orig_rti_fraction': 0.25228841536614643}
# gbr: {'MongoDB_database': 'mstid_GSMR_fitexfilter', 'MongoDB_collection': 'guc_gbr_20121101_20130501', 'MongoDB_MUSICcollection': 'music_guc_gbr_20121101_20130501', 'season': '20121101_20130501', 'Max Number of Signals Reported': 2, 'MongoDB_to_CSV_Script': '/scratch/code/lws_hemispheres/mongo_to_csv.py', 'System Hostname': 'analysis1', 'Script Run Time': '2023-10-23 11:01:41.233926', 'radar': 'gbr', 'lat': 53.32, 'lon': -60.46, 'min_orig_rti_fraction': 0.2560024009603842}
# cvw: {'MongoDB_database': 'mstid_GSMR_fitexfilter', 'MongoDB_collection': 'guc_cvw_20121101_20130501', 'MongoDB_MUSICcollection': 'music_guc_cvw_20121101_20130501', 'season': '20121101_20130501', 'Max Number of Signals Reported': 2, 'MongoDB_to_CSV_Script': '/scratch/code/lws_hemispheres/mongo_to_csv.py', 'System Hostname': 'analysis1', 'Script Run Time': '2023-10-23 11:01:41.233926', 'radar': 'cvw', 'lat': 43.271, 'lon': -120.358, 'min_orig_rti_fraction': 0.25720876585928487}
# cve: {'MongoDB_database': 'mstid_GSMR_fitexfilter', 'MongoDB_collection': 'guc_cve_20121101_20130501', 'MongoDB_MUSICcollection': 'music_guc_cve_20121101_20130501', 'season': '20121101_20130501', 'Max Number of Signals Reported': 2, 'MongoDB_to_CSV_Script': '/scratch/code/lws_hemispheres/mongo_to_csv.py', 'System Hostname': 'analysis1', 'Script Run Time': '2023-10-23 11:01:41.233926', 'radar': 'cve', 'lat': 43.271, 'lon': -120.358, 'min_orig_rti_fraction': 0.26189915966386557}
# fhw: {'MongoDB_database': 'mstid_GSMR_fitexfilter', 'MongoDB_collection': 'guc_fhw_20121101_20130501', 'MongoDB_MUSICcollection': 'music_guc_fhw_20121101_20130501', 'season': '20121101_20130501', 'Max Number of Signals Reported': 2, 'MongoDB_to_CSV_Script': '/scratch/code/lws_hemispheres/mongo_to_csv.py', 'System Hostname': 'analysis1', 'Script Run Time': '2023-10-23 11:01:41.233926', 'radar': 'fhw', 'lat': 38.859, 'lon': -99.389, 'min_orig_rti_fraction': 0.26224961479198766}
# fhe: {'MongoDB_database': 'mstid_GSMR_fitexfilter', 'MongoDB_collection': 'guc_fhe_20121101_20130501', 'MongoDB_MUSICcollection': 'music_guc_fhe_20121101_20130501', 'season': '20121101_20130501', 'Max Number of Signals Reported': 2, 'MongoDB_to_CSV_Script': '/scratch/code/lws_hemispheres/mongo_to_csv.py', 'System Hostname': 'analysis1', 'Script Run Time': '2023-10-23 11:01:41.233926', 'radar': 'fhe', 'lat': 38.859, 'lon': -99.389, 'min_orig_rti_fraction': 0.2910518444666002}
# bks: {'MongoDB_database': 'mstid_GSMR_fitexfilter', 'MongoDB_collection': 'guc_bks_20121101_20130501', 'MongoDB_MUSICcollection': 'music_guc_bks_20121101_20130501', 'season': '20121101_20130501', 'Max Number of Signals Reported': 2, 'MongoDB_to_CSV_Script': '/scratch/code/lws_hemispheres/mongo_to_csv.py', 'System Hostname': 'analysis1', 'Script Run Time': '2023-10-23 11:01:41.233926', 'radar': 'bks', 'lat': 37.1, 'lon': -77.95, 'min_orig_rti_fraction': 0.2628968253968254}
# wal: {'MongoDB_database': 'mstid_GSMR_fitexfilter', 'MongoDB_collection': 'guc_wal_20121101_20130501', 'MongoDB_MUSICcollection': 'music_guc_wal_20121101_20130501', 'season': '20121101_20130501', 'Max Number of Signals Reported': 2, 'MongoDB_to_CSV_Script': '/scratch/code/lws_hemispheres/mongo_to_csv.py', 'System Hostname': 'analysis1', 'Script Run Time': '2023-10-23 11:01:41.233926', 'radar': 'wal', 'lat': 37.93, 'lon': -75.47, 'min_orig_rti_fraction': 0.25965431627196334}
#
# Reduction Attributes:
# ('reduction_type', 'mean')
# ('zscore', True)
# ('daily_vals', True)
# ('smoothing_window', '4D')
# ('smoothing_type', 'mean')
#
,reduced_index,n_good_df,smoothed
2012-11-01,0.45544852751534376,16,0.48346870896616645
2012-11-02,0.7569299855451427,29,0.4910985677814822
2012-11-03,0.23802761383801296,30,0.4682704503117894
2012-11-04,0.5139881442274294,30,0.37695121730810566
2012-11-05,0.36413605763657236,30,0.5152081745393899
2012-11-06,0.391653053530408,26,0.4945254584212946
2012-11-07,0.7910554427631499,22,0.5600408720702978
2012-11-08,0.43125727975504813,26,0.57883426221535
2012-11-09,0.6261977122325856,22,0.6056555737867335
2012-11-10,0.4668266141106164,28,0.6309167720364096
2012-11-11,0.8983406890486839,24,0.7266239628891504
2012-11-12,0.5323020727537524,28,0.8146833318361772
2012-11-13,1.0090264756435492,21,0.7662846394133953
2012-11-14,0.8190640898987233,25,0.8109229641190706
2012-11-15,0.7047459193575563,29,0.6991612886978698
2012-11-16,0.7108553715764537,24,0.7355763235654125
2012-11-17,0.5619797739587458,24,0.8252396984225145
2012-11-18,0.9647242293688942,25,0.46863140960554667
2012-11-19,1.0633994187859648,24,0.5488833597990631
2012-11-20,-0.7155777836914181,24,0.18606224475201294
2012-11-21,0.8829875747328115,24,0.147086112904117
2012-11-22,-0.4865602308193065,26,-0.004240190343917316
2012-11-23,0.907494891394381,23,-0.6136070822777266
2012-11-24,-1.3208829966835554,25,-0.596770009788851
2012-11-25,-1.5544799930024256,27,-0.8455479322291807
2012-11-26,-0.41921194086380414,23,-0.308750752343267
2012-11-27,-0.087616798366938,23,0.24851451300443858
2012-11-28,0.8263057228601,22,0.5664620050324681
2012-11-29,0.6745810683883965,24,0.7478344418848819
2012-11-30,0.8525780272483142,27,0.7453905663266749
2012-12-01,0.637872949042717,26,0.7993842273584187
2012-12-02,0.8165302206272717,22,0.741435752116386
2012-12-03,0.890555712515372,25,0.8589409907992159
2012-12-04,0.6207841262801832,23,0.703792367695443
2012-12-05,1.107893903774037,26,0.5871804301162478
2012-12-06,0.19593572821218005,26,0.580934973162949
2012-12-07,0.4241079621985912,25,0.449351906960541
2012-12-08,0.5958022984669878,25,0.5446806021756643
2012-12-09,0.5815616389644049,24,0.6102511969584469
2012-12-10,0.5772505090726731,25,0.4944721455107366
2012-12-11,0.6863903413297217,24,0.3700941038034688
2012-12-12,0.1326860926761467,22,0.3757684706255672
2012-12-13,0.08404947213533384,24,0.2883008196285003
2012-12-14,0.5999479763610667,24,0.3901028791938655
2012-12-15,0.336519737341454,24,0.68295910407074
2012-12-16,0.5398943309376074,22,0.7338097251804113
2012-12-17,1.255474371642832,24,0.8363740642004049
2012-12-18,0.8033504607997518,26,0.915549341075544
2012-12-19,0.7467770934214283,24,0.8902850443380621
2012-12-20,0.8565954384381638,24,1.0483785184394192
2012-12-21,1.1544171846929046,24,0.513285069795016
2012-12-22,1.4357243572051799,24,-0.09816070713794839
2012-12-23,-1.3935967011561843,23,-0.155602762383866
2012-12-24,-1.5891876692936937,23,-1.051906692776769
2012-12-25,0.9246489637092341,23,-1.0103279331588864
2012-12-26,-2.149491364366432,20,-0.3539056290926963
2012-12-27,-1.2272816626846534,23,-0.41085354941255214
2012-12-28,1.0365015469710661,22,0.2499184065912249
2012-12-29,0.6968572824298107,23,0.7486411260898279
2012-12-30,0.49359645964867627,21,0.7324214879422438
2012-12-31,0.7676092153097588,22,0.7243596900574474
2013-01-01,0.9716229943807296,20,0.7505270671001043
2013-01-02,0.664610090890625,22,0.8358624832687902
2013-01-03,0.5982659678193041,21,0.8357354527494377
2013-01-04,1.1089508799845023,21,0.8664087655558449
2013-01-05,0.9711148723033196,22,0.8546653812357888
2013-01-06,0.7873033421162537,23,0.7135971072073105
2013-01-07,0.5512924305390801,23,0.5977614779288664
2013-01-08,0.5446777838705887,23,0.48636507309162474
2013-01-09,0.507772355189543,23,0.41171687843054433
2013-01-10,0.3417177227672873,25,0.37844774207722914
2013-01-11,0.2526996518947586,27,0.38201156670915803
2013-01-12,0.411601238457328,26,0.4211628990151786
2013-01-13,0.5220276537172585,26,0.34412695197843557
2013-01-14,0.49832305199136956,26,0.289238816761661
2013-01-15,-0.055444136252213436,26,0.3622557464288013
2013-01-16,0.1920486975902298,26,0.17059711350107637
2013-01-17,0.8140953723858197,29,-0.6259970536560501
2013-01-18,-0.26831147971953045,23,-1.6156033826211904
2013-01-19,-3.241820804880719,28,-1.871767261342871
2013-01-20,-3.766376618270331,28,-2.4617704546608383
2013-01-21,-0.2105601425009033,28,-2.47251559819777
2013-01-22,-2.6283242529914004,29,-1.5251157819731096
2013-01-23,-3.2848013790284454,22,-1.451505964423939
2013-01-24,0.02322264662831136,17,-0.6131971415110643
2013-01-25,0.08387912769577814,25,0.14969738271776298
2013-01-26,0.7249110386600992,20,0.14433264047127783
2013-01-27,-0.2332232821131364,26,0.12530983105162144
2013-01-28,0.0017636776423708013,27,-0.0378982931845324
2013-01-29,0.007787890017152565,30,-0.026190753526106676
2013-01-30,0.07207854171548385,31,-0.6154234365774441
2013-01-31,-0.18639312347943346,30,-0.4728755622365044
2013-02-01,-2.3551670545629793,32,-0.4360604360955725
2013-02-02,0.5779793873809113,28,-0.3171999152718731
2013-02-03,0.21933904627921172,33,0.4347853029291389
2013-02-04,0.28904895981536416,33,0.33355680745591326
2013-02-05,0.6527738182410687,30,0.4676427992309048
2013-02-06,0.17306540548800853,32,0.49281113146959493
2013-02-07,0.7556830133791779,29,0.479197380836744
2013-02-08,0.3897222887701248,30,0.6258694720922653
2013-02-09,0.598318815709665,28,-0.03602780431069991
2013-02-10,0.7597537705100939,33,-0.4347941946301958
2013-02-11,-1.8919060922326831,32,-0.4677803913164986
2013-02-12,-1.2053432725078588,34,-0.9852519455826528
2013-02-13,0.46637402896445407,35,-0.38826519377296465
2013-02-14,-1.310132446554523,30,0.025772516115400684
2013-02-15,0.4960409150060695,35,0.010826851986190392
2013-02-16,0.45080756704560243,35,0.5027332829986448
